objectID,bikeRouteName,Geom
227443,Fraser River Trail,"{""coordinates"": [[-123.04337161292258, 49.20557180005556], [-123.04352536208343, 49.20550841354551], [-123.04364532245907, 49.205468617170624], [-123.043677751902, 49.20546236667497]], ""type"": ""LineString""}"
227461,Richards,"{""coordinates"": [[-123.1161586140664, 49.28122479403442], [-123.11786598085943, 49.28009448304817], [-123.11786601656868, 49.2800944668204]], ""type"": ""LineString""}"
227485,Richards,"{""coordinates"": [[-123.11140378819503, 49.28436858650819], [-123.11190413928644, 49.28403762754554]], ""type"": ""LineString""}"
227486,Inverness,"{""coordinates"": [[-123.07804288757525, 49.211088060116865], [-123.07804757499179, 49.211227595440064], [-123.07868243390494, 49.21123537382881], [-123.0787134710689, 49.21127273889405], [-123.07872137274578, 49.211282251422205], [-123.07876194179605, 49.211331090662036], [-123.0789709788299, 49.211459554449846], [-123.07903913170544, 49.211521011307596]], ""type"": ""LineString""}"
227511,Hornby,"{""coordinates"": [[-123.12248869433475, 49.28217244065736], [-123.12338294864017, 49.28158057621614]], ""type"": ""LineString""}"
227515,Cambie Bridge,"{""coordinates"": [[-123.11613041191065, 49.26604484432998], [-123.11627328152842, 49.2660008013572], [-123.11627479556222, 49.266000504790924], [-123.11670003778477, 49.265917222156624], [-123.11705777757838, 49.265884704226636], [-123.11740527046337, 49.26584608426041]], ""type"": ""LineString""}"
227519,Midtown,"{""coordinates"": [[-123.02372131138495, 49.24299202981694], [-123.02372058862399, 49.24256731088263]], ""type"": ""LineString""}"
227529,Off-Broadway,"{""coordinates"": [[-123.15286213651919, 49.26557803768307], [-123.15411561487538, 49.265598232676325]], ""type"": ""LineString""}"
227530,Cypress,"{""coordinates"": [[-123.147918366843, 49.26937671209865], [-123.14791854184396, 49.269371336343625], [-123.14793348571968, 49.268936071893414]], ""type"": ""LineString""}"
227624,Seaside,"{""coordinates"": [[-123.13208457136008, 49.29356740763449], [-123.13225763377223, 49.29344175149243]], ""type"": ""LineString""}"
227626,Seaside,"{""coordinates"": [[-123.13940442856234, 49.27121380863251], [-123.13926678493966, 49.27107892254533], [-123.13909297514623, 49.27090853711506], [-123.13903021667923, 49.27088474569242], [-123.13900003951609, 49.27087330502843], [-123.1388952305322, 49.27088881195142], [-123.13880158125859, 49.270916165540115], [-123.1387175387187, 49.27090845773804], [-123.1386004269857, 49.27089770689347], [-123.1384732949725, 49.27079398639461], [-123.13843625082897, 49.27072775327724], [-123.1383715005414, 49.27067134909925], [-123.13837145378301, 49.27067134195908], [-123.13826907934039, 49.270648899162715], [-123.13826903258962, 49.27064889472107], [-123.1381613057042, 49.27065415444431], [-123.13805939900054, 49.27066282708669], [-123.13796451115118, 49.27063695060353], [-123.13796447674972, 49.27063693805133], [-123.13764634436372, 49.270455297870164], [-123.13764928170689, 49.270207654798305], [-123.13764928397637, 49.27020698825147], [-123.13714486901962, 49.26990657817483]], ""type"": ""LineString""}"
227642,Pacific,"{""coordinates"": [[-123.1318336865703, 49.2766251371351], [-123.13134734944724, 49.27631138836089]], ""type"": ""LineString""}"
227666,Ontario,"{""coordinates"": [[-123.10457655079233, 49.27152625490426], [-123.10455953674739, 49.271925162144676], [-123.10453383925257, 49.271946464424204], [-123.104521929142, 49.27195633662854], [-123.10451265245388, 49.27196402601496], [-123.10446720898221, 49.27200168950409]], ""type"": ""LineString""}"
227668,Ontario,"{""coordinates"": [[-123.1065506457269, 49.212315911139406], [-123.10661040371082, 49.21118536699266], [-123.10670262194448, 49.20942526171749], [-123.10670263969419, 49.20942521582512]], ""type"": ""LineString""}"
227682,29th Ave,"{""coordinates"": [[-123.12488623668571, 49.246263981700444], [-123.12765061730909, 49.24630921440558]], ""type"": ""LineString""}"
227729,Mosaic,"{""coordinates"": [[-123.07350070005106, 49.26918010297333], [-123.07350882667505, 49.26872759084904]], ""type"": ""LineString""}"
227735,Midtown/Ridgeway,"{""coordinates"": [[-123.09191788473326, 49.2370539433861], [-123.09044528339318, 49.237024079281426]], ""type"": ""LineString""}"
227741,Laurel Overpass,"{""coordinates"": [[-123.12408604226552, 49.26621006478391], [-123.12406819811918, 49.2666958014859], [-123.1240676173953, 49.26671198267878]], ""type"": ""LineString""}"
227755,Burrard,"{""coordinates"": [[-123.1302456338735, 49.278375689382266], [-123.13077531042522, 49.27802519644653]], ""type"": ""LineString""}"
227773,BC Parkway,"{""coordinates"": [[-123.06031744647271, 49.25020742904091], [-123.06031738736058, 49.25020740748326], [-123.0570215442452, 49.24883847312651]], ""type"": ""LineString""}"
227793,Kent,"{""coordinates"": [[-123.10685141280298, 49.206589725959574], [-123.10245625953463, 49.20696075039142]], ""type"": ""LineString""}"
227795,Dumfries,"{""coordinates"": [[-123.0737259348472, 49.25751105814675], [-123.07374373734521, 49.25651844098837], [-123.0737437615077, 49.25651713306855]], ""type"": ""LineString""}"
